id,parent_id,text,level,completed,currentEmotion,completionEmotion,totalTimeEstimate,createdAt,startTime,endTime,timeSpent,username
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
0,0,,0,False,,,,,,,,
